month,day,full_time,hour,minute,altitude,azimuth,irradmean,skycover,class,doy
5,4,5.216667,5,12,0.016,-111.970,0.0,0.0,Sunrise,124
5,4,19.283333,19,17,0.088,111.895,0.0,0.0,Sunset,124
5,5,5.200000,5,11,0.075,-112.332,0.0,0.0,Sunrise,125
5,5,19.300000,19,18,0.117,112.288,0.0,0.0,Sunset,125
5,6,5.183333,5,10,0.130,-112.693,0.0,0.0,Sunrise,126
5,6,19.316667,19,19,0.146,112.676,0.0,0.0,Sunset,126
5,7,5.150000,5,8,0.014,-113.224,0.0,0.0,Sunrise,127
5,7,19.350000,19,21,0.006,113.232,0.0,0.0,Sunset,127
5,8,5.133333,5,7,0.060,-113.581,0.0,0.0,Sunrise,128
5,8,19.366667,19,22,0.033,113.610,0.0,0.0,Sunset,128
5,9,5.116667,5,6,0.102,-113.935,0.0,0.0,Sunrise,129
5,9,19.383333,19,23,0.058,113.982,0.0,0.0,Sunset,129
5,10,5.100000,5,5,0.140,-114.288,0.0,0.0,Sunrise,130
5,10,19.400000,19,24,0.082,114.349,0.0,0.0,Sunset,130
5,11,5.066667,5,3,0.008,-114.811,0.0,0.0,Sunrise,131
5,11,19.416667,19,25,0.104,114.710,0.0,0.0,Sunset,131
5,12,5.050000,5,2,0.037,-115.159,0.0,0.0,Sunrise,132
5,12,19.433333,19,26,0.125,115.066,0.0,0.0,Sunset,132
5,13,5.033333,5,1,0.061,-115.505,0.0,0.0,Sunrise,133
5,13,19.450000,19,27,0.145,115.417,0.0,0.0,Sunset,133
5,14,5.016667,5,0,0.081,-115.848,0.0,0.0,Sunrise,134
5,14,19.466667,19,28,0.162,115.762,0.0,0.0,Sunset,134
5,15,5.000000,4,59,0.095,-116.189,0.0,0.0,Sunrise,135
5,15,19.500000,19,30,0.016,116.273,0.0,0.0,Sunset,135
5,16,4.983333,4,58,0.105,-116.528,0.0,0.0,Sunrise,136
5,16,19.516667,19,31,0.031,116.607,0.0,0.0,Sunset,136
5,17,4.966667,4,57,0.110,-116.864,0.0,0.0,Sunrise,137
5,17,19.533333,19,32,0.044,116.935,0.0,0.0,Sunset,137
5,18,4.950000,4,56,0.111,-117.198,0.0,0.0,Sunrise,138
5,18,19.550000,19,33,0.055,117.258,0.0,0.0,Sunset,138
5,19,4.933333,4,55,0.106,-117.529,0.0,0.0,Sunrise,139
5,19,19.566667,19,34,0.064,117.575,0.0,0.0,Sunset,139
5,20,4.916667,4,54,0.097,-117.858,0.0,0.0,Sunrise,140
5,20,19.583333,19,35,0.071,117.886,0.0,0.0,Sunset,140
5,21,4.900000,4,53,0.083,-118.184,0.0,0.0,Sunrise,141
5,21,19.600000,19,36,0.076,118.192,0.0,0.0,Sunset,141
5,22,4.883333,4,52,0.064,-118.507,0.0,0.0,Sunrise,142
5,22,19.616667,19,37,0.078,118.492,0.0,0.0,Sunset,142
5,23,4.866667,4,51,0.040,-118.828,0.0,0.0,Sunrise,143
5,23,19.633333,19,38,0.078,118.786,0.0,0.0,Sunset,143
5,24,4.850000,4,50,0.011,-119.145,0.0,0.0,Sunrise,144
5,24,19.650000,19,39,0.076,119.074,0.0,0.0,Sunset,144
5,25,4.850000,4,50,0.134,-119.288,0.0,0.0,Sunrise,145
5,25,19.666667,19,40,0.070,119.357,0.0,0.0,Sunset,145
5,26,4.833333,4,49,0.095,-119.600,0.0,0.0,Sunrise,146
5,26,19.683333,19,41,0.063,119.635,0.0,0.0,Sunset,146
5,27,4.816667,4,48,0.050,-119.908,0.0,0.0,Sunrise,147
5,27,19.700000,19,42,0.052,119.907,0.0,0.0,Sunset,147
5,28,4.800000,4,47,0.001,-120.214,0.0,0.0,Sunrise,148
5,28,19.716667,19,43,0.039,120.173,0.0,0.0,Sunset,148
5,29,4.800000,4,47,0.102,-120.345,0.0,0.0,Sunrise,149
5,29,19.733333,19,44,0.022,120.433,0.0,0.0,Sunset,149
5,30,4.783333,4,46,0.042,-120.644,0.0,0.0,Sunrise,150
5,30,19.750000,19,45,0.003,120.688,0.0,0.0,Sunset,150
5,31,4.783333,4,46,0.133,-120.768,0.0,0.0,Sunrise,151
5,31,19.750000,19,45,0.135,120.765,0.0,0.0,Sunset,151
6,1,4.766667,4,45,0.062,-121.061,0.0,0.0,Sunrise,152
6,1,19.766667,19,46,0.109,121.009,0.0,0.0,Sunset,152
6,2,4.766667,4,45,0.141,-121.179,0.0,0.0,Sunrise,153
6,2,19.783333,19,47,0.079,121.248,0.0,0.0,Sunset,153
6,3,4.750000,4,44,0.061,-121.465,0.0,0.0,Sunrise,154
6,3,19.800000,19,48,0.046,121.481,0.0,0.0,Sunset,154
6,4,4.750000,4,44,0.129,-121.576,0.0,0.0,Sunrise,155
6,4,19.816667,19,49,0.010,121.709,0.0,0.0,Sunset,155
6,5,4.733333,4,43,0.037,-121.855,0.0,0.0,Sunrise,156
6,5,19.816667,19,49,0.123,121.758,0.0,0.0,Sunset,156
6,6,4.733333,4,43,0.094,-121.959,0.0,0.0,Sunrise,157
6,6,19.833333,19,50,0.079,121.975,0.0,0.0,Sunset,157
6,7,4.733333,4,43,0.145,-122.059,0.0,0.0,Sunrise,158
6,7,19.850000,19,51,0.031,122.187,0.0,0.0,Sunset,158
